紅河哈尼族彝族自治河口瑤族自治縣,紅河哈尼族彝族自治,河口瑤族自治縣
諸北京留守軍衛、千戶所、院通州衛,諸北京留守軍衛、千戶所、院,通州衛
宣政院轄地朵甘思哈答李唐魚通等處,宣政院轄地,朵甘思哈答李唐魚通等處
陝西諸道行御史臺陝西漢中廉訪司道,陝西諸道行御史臺,陝西漢中廉訪司道
都勻衛軍民指揮使司平洲六洞長官司,都勻衛軍民指揮使司,平洲六洞長官司
雲南都指揮使司守禦通海右右千戶所,雲南都指揮使司,守禦通海右右千戶所
諸北京留守軍衛、千戶所、院康陵衛,諸北京留守軍衛、千戶所、院,康陵衛
諸北京留守軍衛、千戶所、院獻陵衛,諸北京留守軍衛、千戶所、院,獻陵衛
唐代道行軍(地區未詳)靈州道行軍,唐代道行軍(地區未詳),靈州道行軍
湖廣都指揮使司黎州守禦軍民千戶所,湖廣都指揮使司,黎州守禦軍民千戶所
諸北京留守軍衛、千戶所、院彭城衛,諸北京留守軍衛、千戶所、院,彭城衛
四川行都指揮使守禦冕山橋後千戶所,四川行都指揮使,守禦冕山橋後千戶所
唐代節度(地區未詳)徐泗濠軍節度,唐代節度(地區未詳),徐泗濠軍節度
廣西都指揮使司守禦來賓中前千戶所,廣西都指揮使司,守禦來賓中前千戶所
諸北京留守軍衛、千戶所、院永陵衛,諸北京留守軍衛、千戶所、院,永陵衛
唐代節度(地區未詳)魏博軍軍節度,唐代節度(地區未詳),魏博軍軍節度
札薩克圖汗部扎萨克圖汗部左翼右旗,札薩克圖汗部,扎萨克圖汗部左翼右旗
陝西諸道行御史臺雲南諸路廉訪司道,陝西諸道行御史臺,雲南諸路廉訪司道
思州軍民黃道溪等處蠻夷軍民長官司,思州軍民,黃道溪等處蠻夷軍民長官司
札薩克圖汗部扎萨克圖汗部右翼右旗,札薩克圖汗部,扎萨克圖汗部右翼右旗
江南諸道行御史臺江南湖北廉訪司道,江南諸道行御史臺,江南湖北廉訪司道
雲南行中書臨安廣西元江等處宣慰司,雲南行中書,臨安廣西元江等處宣慰司
四川都指揮使司黎州守禦軍民千戶所,四川都指揮使司,黎州守禦軍民千戶所
札薩克圖汗部扎萨克圖汗部左翼左旗,札薩克圖汗部,扎萨克圖汗部左翼左旗
諸北京留守軍衛、千戶所、院景陵衛,諸北京留守軍衛、千戶所、院,景陵衛
永順軍民宣慰使司保靖軍民宣慰使司,永順軍民宣慰使司,保靖軍民宣慰使司
陝西諸固原靜寧隆德鎮原等處兵備道,陝西諸,固原靜寧隆德鎮原等處兵備道
遼東都指揮使司福山備禦中前千戶所,遼東都指揮使司,福山備禦中前千戶所
順元路磨坡雷波等處蠻夷軍民長官司,順元路,磨坡雷波等處蠻夷軍民長官司
思州軍民思印江等處蠻夷軍民長官司,思州軍民,思印江等處蠻夷軍民長官司
諸北京留守軍衛、千戶所、院太醫院,諸北京留守軍衛、千戶所、院,太醫院
江南諸道行御史臺江西湖東廉訪司道,江南諸道行御史臺,江西湖東廉訪司道
唐代道行軍(地區未詳)代州道行軍,唐代道行軍(地區未詳),代州道行軍
宣政院轄地吐蕃等處宣慰司都元帥府,宣政院轄地,吐蕃等處宣慰司都元帥府
宋代節度(地區未詳)太平軍軍節度,宋代節度(地區未詳),太平軍軍節度
諸北京留守軍衛、千戶所、院茂陵衛,諸北京留守軍衛、千戶所、院,茂陵衛
紅河哈尼族彝族金平苗族瑤族自治縣,紅河哈尼族彝族,金平苗族瑤族自治縣
四川行都指揮使建昌衛軍民指揮使司,四川行都指揮使,建昌衛軍民指揮使司
江南諸道行御史臺海北廣東廉訪司道,江南諸道行御史臺,海北廣東廉訪司道
唐代道行軍(地區未詳)金牙道行軍,唐代道行軍(地區未詳),金牙道行軍
諸北京留守軍衛、千戶所、院羽林衛,諸北京留守軍衛、千戶所、院,羽林衛
貴州都指揮使司普定衛軍民指揮使司,貴州都指揮使司,普定衛軍民指揮使司
諸北京留守軍衛、千戶所、院濟州衛,諸北京留守軍衛、千戶所、院,濟州衛
唐代道行軍(地區未詳)洮州道行軍,唐代道行軍(地區未詳),洮州道行軍
廣西都指揮使司守禦象州中右千戶所,廣西都指揮使司,守禦象州中右千戶所
四川行都指揮使司禮州守禦後千戶所,四川行都指揮使司,禮州守禦後千戶所
